字典类型编码,字典类型名称,数据库字段名,编码,名称,排序,状态
trade-type,交易品种,trade_type,PRIORITY,优先发电,1,启用
trade-type,交易品种,trade_type,BILATERAL,双边协商,2,启用
trade-type,交易品种,trade_type,AUCTION,集中竞价,3,启用
trade-type,交易品种,trade_type,LISTED,挂牌交易,4,启用
trade-type,交易品种,trade_type,GREEN_PV,绿电(光伏),5,启用
trade-type,交易品种,trade_type,GREEN_WIND,绿电(风电),6,启用
trade-type,交易品种,trade_type,TRANSFER,合同转让,7,启用
trade-type,交易品种,trade_type,SPOT,现货交易,8,启用
trade-type,交易品种,trade_type,DAY_AHEAD,日前交易,9,启用
power-type,电源类型,power_type,PV,光伏,1,启用
power-type,电源类型,power_type,WIND,风电,2,启用
power-type,电源类型,power_type,HYDRO,水电,3,启用
power-type,电源类型,power_type,THERMAL_COAL,燃煤火电,4,启用
power-type,电源类型,power_type,THERMAL_GAS,燃气火电,5,启用
power-type,电源类型,power_type,STORAGE,独立储能,6,启用
power-type,电源类型,power_type,BIOMASS,生物质垃圾,7,启用
power-type,电源类型,power_type,OTHER,其他,8,启用
generation-type,发电类型,generation_type,THERMAL_COAL,燃煤火电,1,启用
generation-type,发电类型,generation_type,NEW_ENERGY,新能源,2,启用
generation-type,发电类型,generation_type,GREEN_PV,绿电(光伏),3,启用
generation-type,发电类型,generation_type,GREEN_WIND,绿电(风电),4,启用
generation-type,发电类型,generation_type,PRIORITY,优先电量,5,启用
station-type,场站类型,station_type,PV_STATION,光伏电站,1,启用
station-type,场站类型,station_type,WIND_FARM,风电场,2,启用
station-type,场站类型,station_type,HYDRO_STATION,水电站,3,启用
station-type,场站类型,station_type,THERMAL_PLANT,火电厂,4,启用
station-type,场站类型,station_type,STORAGE_STATION,储能电站,5,启用
station-type,场站类型,station_type,BIOMASS_PLANT,生物质垃圾发电站,6,启用
unit-type,计量单位,unit_type,MWH,兆瓦时(MWh),1,启用
unit-type,计量单位,unit_type,WAN_KWH,万千瓦时(万kWh),2,启用
unit-type,计量单位,unit_type,YI_KWH,亿千瓦时(亿kWh),3,启用
unit-type,计量单位,unit_type,MW,兆瓦(MW),4,启用
unit-type,计量单位,unit_type,CNY_MWH,元/兆瓦时(元/MWh),5,启用
unit-type,计量单位,unit_type,H,小时(h),6,启用
unit-type,计量单位,unit_type,PCT,百分比(%),7,启用
unit-type,计量单位,unit_type,M_S,米/秒(m/s),8,启用
unit-type,计量单位,unit_type,W_M2,瓦/平方米(W/m²),9,启用
unit-type,计量单位,unit_type,C,摄氏度(°C),10,启用
unit-type,计量单位,unit_type,YEAR,年度,11,启用
unit-type,计量单位,unit_type,MONTH,月度,12,启用
unit-type,计量单位,unit_type,DAY,日度,13,启用
midlong-trade-mode,中长期交易方式,trade_mode,DAILY,日滚动,1,启用
midlong-trade-mode,中长期交易方式,trade_mode,INTRA_MONTH,月内,2,启用
midlong-trade-mode,中长期交易方式,trade_mode,MONTH,月度,3,启用
midlong-trade-mode,中长期交易方式,trade_mode,MULTI_MONTH,多月,4,启用
midlong-trade-mode,中长期交易方式,trade_mode,YEAR,年度,5,启用
spot-market-type,现货市场类型,market_type,DAY_AHEAD,日前,1,启用
spot-market-type,现货市场类型,market_type,REAL_TIME,实时,2,启用
risk-level,风险偏好,risk_level,CONSERVATIVE,保守,1,启用
risk-level,风险偏好,risk_level,MODERATE,稳健,2,启用
risk-level,风险偏好,risk_level,AGGRESSIVE,激进,3,启用
weather-type,气象类型,weather_type,WIND_SPEED,风速,1,启用
weather-type,气象类型,weather_type,IRRADIANCE,辐照度,2,启用
weather-type,气象类型,weather_type,TEMPERATURE,温度,3,启用
weather-type,气象类型,weather_type,HUMIDITY,湿度,4,启用
weather-type,气象类型,weather_type,PRECIPITATION,降水,5,启用
weather-type,气象类型,weather_type,PRESSURE,气压,6,启用
weather-source,气象数据源,weather_source,ECMWF,ECMWF,1,启用
weather-source,气象数据源,weather_source,NMC,国家气象中心(NMC),2,启用
weather-source,气象数据源,weather_source,OPEN_METEO,Open-Meteo API,3,启用
weather-source,气象数据源,weather_source,WRF,WRF模式,4,启用
weather-source,气象数据源,weather_source,LOCAL,本地观测,5,启用
forecast-duration,预测时长,forecast_duration,REALTIME,实时（1h内）,1,启用
forecast-duration,预测时长,forecast_duration,SHORT,短期（1D内）,2,启用
forecast-duration,预测时长,forecast_duration,MEDIUM_3D,中期（3D内）,3,启用
forecast-duration,预测时长,forecast_duration,MEDIUM_7D,中期（1周内）,4,启用
forecast-duration,预测时长,forecast_duration,LONG_15D,长期（15天内）,5,启用
forecast-duration,预测时长,forecast_duration,LONG_MONTH,长期（1个月）,6,启用
forecast-duration,预测时长,forecast_duration,LONG_QUARTER,长期（3个月）,7,启用
forecast-duration,预测时长,forecast_duration,LONG_YEAR,长期（12个月）,8,启用
